alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788985051.1981,transparent,5799.6821869746,1779776147.0374,"AS22926 Wisper ISP, LLC",AS-WISPER,Russellville,"North America",NA,"United States",US,,false,"Wisper ISP, Inc.",38.499,-92.4422,false,"Wisper ISP, LLC",true,Missouri,success,America/Chicago,65074,1788775307,1788985274.05,8080,http,67.43.112.129:8080,false,9639.3947601318,11792,46795,20.12733200198,67.43.112.129
true,1788985273.9167,elite,9649.0359552975,1788761902.2609,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,InternetXS,true,Arizona,success,America/Phoenix,85001,1788759636,1788985273.9167,38549,http,174.138.162.35:38549,false,13883.30078125,58,1143,4.8293089092423,174.138.162.35
true,1788985256.838,transparent,5574.9354085862,1784407718.5489,"AS263767 CORPORACIÓN GALA IT, C.A.","CORPORACION GALA IT, C.A.",Caracas,"South America",SA,Venezuela,VE,,false,"CORPORACIÓN GALA IT C.A",10.4873,-66.8738,false,"Cogent Communications",true,"Distrito Federal",success,America/Caracas,,1788640253,1788985273.4866,999,http,38.137.234.98:999,false,8755.2366256714,8343,30230,21.629118813678,38.137.234.98
true,1788985273.0253,elite,7925.9109029976,1786672947.1869,"AS14956 RouterHosting LLC",ROUTERHOSTING,Dallas,"North America",NA,"United States",US,,true,"RouterHosting LLC",32.7212,-96.6765,false,"FranTech Solutions",true,Texas,success,America/Chicago,75217,1788485115,1788985273.0253,3128,http,172.86.72.37:3128,false,10368.040323257,3328,15609,17.574061361356,172.86.72.37
true,1788985272.5168,transparent,6115.2793342518,1783389444.5317,"AS149360 PT Indo Telemedia Solusi",IDNIC-INTELMEDIA-AS-ID,Mranggen,Asia,AS,Indonesia,ID,,false,"PT Indo Telemedia Solusi",-7.0268,110.516,false,"PT. INDONET DATA BERSAMA",true,"Central Java",success,Asia/Jakarta,,1788831459,1788985272.5168,8080,http,210.87.92.212:8080,false,12681.732177734,15021,36410,29.206120822072,210.87.92.212
true,1788985272.0653,transparent,4211.4306522245,1785966519.6305,"AS8400 TELEKOM SRBIJA a.d.",TELEKOM-AS,Belgrade,Europe,EU,Serbia,RS,,false,"TELEKOM SRBIJA a.d.",44.8046,20.4637,false,"Telekom BB",true,Belgrade,success,Europe/Belgrade,,1788384417,1788985272.0653,8080,http,212.200.223.89:8080,false,1268.4342861176,12706,18672,40.4933392823,212.200.223.89
true,1788985271.221,transparent,9963.5738897859,1788809886.3428,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"netcup GmbH",49.4527,11.0783,false,"netcup GmbH",true,Bavaria,success,Europe/Berlin,90403,1788808537,1788985271.221,3128,http,89.58.32.131:3128,false,13698.18854332,1068,785,57.63626551538,89.58.32.131
true,1788984848.7208,elite,7328.3586106306,1750614846.0933,"AS28103 TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)","TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)",Asunción,"South America",SA,Paraguay,PY,,false,"TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)",-25.2869,-57.6511,false,"TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A)",true,Asuncion,success,America/Asuncion,,1788555345,1788985271.2155,80,http,190.110.226.122:80,false,5712.7146720886,118579,49071,70.730092454518,190.110.226.122
true,1788985179.1086,elite,9467.9483323058,1788749389.7573,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,"Secured Servers LLC",true,Arizona,success,America/Phoenix,85001,1788749134,1788985271.1905,36006,http,174.138.165.213:36006,false,3594.77186203,121,1241,8.8839941262849,174.138.165.213
true,1788985271.0974,transparent,6284.1429254194,1786309827.9218,"AS4775 Globe Telecoms",GLOBE-TELECOM-AS,Baybay,Asia,AS,Philippines,PH,,false,"Globe Telecom",10.6765,124.7953,false,,true,"Eastern Visayas",success,Asia/Manila,6521,1788727122,1788985271.0974,5050,http,180.191.229.193:5050,false,12934.815168381,5336,17877,22.987119286607,180.191.229.193
